,GDP,HDI
United States,25346805.0,0.926
China,19911593.0,0.761
Japan,4912147.0,0.919
Germany,4256540.0,0.947
India,3534743.0,0.645
United Kingdom,3376003.0,0.932
France,2936702.0,0.901
Canada,2221218.0,0.929
Italy,2058330.0,0.892
Brazil,1833274.0,0.765
Russia,1829050.0,0.824
South Korea,1804680.0,0.916
Australia,1748334.0,0.944
Spain,1435560.0,0.904
Mexico,1322740.0,0.779
Indonesia,1289295.0,0.718
Saudi Arabia,1040166.0,0.854
Netherlands,1013595.0,0.944
Switzerland,841969.0,0.955
Poland,699559.0,0.88
Turkey,692380.0,0.82
Sweden,621241.0,0.945
Belgium,609887.0,0.931
Argentina,564277.0,0.845
Norway,541938.0,0.957
Thailand,522012.0,0.777
Israel,520703.0,0.919
Ireland,516146.0,0.955
Nigeria,510588.0,0.539
United Arab Emirates,501354.0,0.89
Austria,479815.0,0.922
Malaysia,439373.0,0.81
Egypt,435621.0,0.707
South Africa,426166.0,0.709
Singapore,424431.0,0.938
Philippines,411978.0,0.718
Vietnam,408947.0,0.704
Denmark,399100.0,0.94
Bangladesh,396543.0,0.632
Hong Kong,369486.0,0.949
Colombia,351281.0,0.767
Pakistan,347743.0,0.557
Chile,317594.0,0.851
Finland,297617.0,0.938
Iraq,297341.0,0.674
Czech Republic,296238.0,0.9
Romania,286509.0,0.828
New Zealand,257211.0,0.931
Portugal,251915.0,0.864
Peru,240346.0,0.777
Qatar,225716.0,0.848
Greece,222770.0,0.888
Ukraine,198316.0,0.779
Hungary,197813.0,0.854
Kazakhstan,193611.0,0.825
Algeria,193601.0,0.748
Kuwait,186610.0,0.806
Morocco,133062.0,0.686
Angola,124862.0,0.581
Slovakia,118434.0,0.86
Ecuador,115462.0,0.759
Kenya,114679.0,0.601
Oman,110127.0,0.813
Dominican Republic,109080.0,0.756
Ethiopia,105325.0,0.485
Guatemala,91019.0,0.663
Bulgaria,89533.0,0.816
Luxembourg,86898.0,0.916
Sri Lanka,81934.0,0.782
Tanzania,77506.0,0.529
Turkmenistan,76591.0,0.715
Ghana,73894.0,0.611
Azerbaijan,73369.0,0.756
Uzbekistan,73060.0,0.72
Ivory Coast,73047.0,0.538
Panama,70492.0,0.815
Lithuania,69782.0,0.882
Croatia,69459.0,0.851
Myanmar,69262.0,0.583
Costa Rica,65314.0,0.81
Serbia,65037.0,0.806
Uruguay,64283.0,0.817
Slovenia,63647.0,0.917
Lebanon,27320.0,0.744
Belarus,59394.0,0.823
Venezuela,49086.0,0.711
Libya,48773.0,0.724
Jordan,47745.0,0.729
Uganda,46377.0,0.544
Cameroon,45713.0,0.563
Tunisia,45642.0,0.74
Bahrain,44169.0,0.852
Paraguay,41935.0,0.728
Bolivia,41032.0,0.718
Latvia,40266.0,0.866
Estonia,37202.0,0.892
Zimbabwe,36387.0,0.571
Nepal,36315.0,0.602
Brunei,35555.0,0.838
Sudan,31460.0,0.51
El Salvador,30720.0,0.673
Honduras,30116.0,0.634
Papua New Guinea,29919.0,0.555
Senegal,28435.0,0.512
Yemen,28134.0,0.47
Cambodia,28020.0,0.594
Iceland,27865.0,0.949
Cyprus,27726.0,0.887
Zambia,26665.0,0.584
Trinidad and Tobago,25342.0,0.796
Bosnia and Herzegovina,23358.0,0.78
Gabon,22456.0,0.703
Guinea,20952.0,0.477
Georgia,20889.0,0.812
Haiti,20168.0,0.51
Afghanistan,20136.0,0.511
Palestine,19698.0,0.708
Burkina Faso,19621.0,0.452
Mali,19264.0,0.434
Botswana,18426.0,0.735
Benin,18387.0,0.545
Mongolia,18102.0,0.737
Mozambique,18091.0,0.456
Albania,17942.0,0.795
Laos,17347.0,0.613
Malta,17251.0,0.895
Equatorial Guinea,16335.0,0.592
Nicaragua,15764.0,0.66
Jamaica,15721.0,0.734
Niger,15620.0,0.394
Syria,60043.0,0.567
Madagascar,14616.0,0.528
North Macedonia,14198.0,0.774
Armenia,14047.0,0.776
Moldova,13811.0,0.75
Guyana,13543.0,0.682
Namibia,13019.0,0.646
Chad,12938.0,0.398
Bahamas,12627.0,0.814
Rwanda,12060.0,0.543
Malawi,12042.0,0.483
Mauritius,11263.0,0.804
Mauritania,9280.0,0.546
Kyrgyzstan,9017.0,0.697
Togo,8699.0,0.515
Tajikistan,7820.0,0.668
Montenegro,6018.0,0.829
South Sudan,5730.0,0.433
Barbados,5530.0,0.814
Maldives,5502.0,0.74
Fiji,5172.0,0.743
Eswatini,4646.0,0.611
Sierra Leone,4268.0,0.452
Djibouti,3836.0,0.524
Liberia,3829.0,0.48
Burundi,3431.0,0.433
Andorra,3400.0,0.868
Suriname,2988.0,0.738
Bhutan,2653.0,0.654
Central African Republic,2645.0,0.397
Eritrea,2568.0,0.459
Lesotho,2561.0,0.527
Gambia,2166.0,0.496
Saint Lucia,2082.0,0.759
Cape Verde,1997.0,0.665
Belize,1991.0,0.716
East Timor,1920.0,0.606
Seychelles,1750.0,0.796
Solomon Islands,1669.0,0.567
Guinea-Bissau,1656.0,0.48
Antigua and Barbuda,1621.0,0.778
Comoros,1310.0,0.554
Grenada,1192.0,0.779
Saint Kitts and Nevis,1114.0,0.779
Vanuatu,1015.0,0.609
Saint Vincent and the Grenadines,953.0,0.738
Samoa,816.0,0.715
Dominica,635.0,0.742
Tonga,528.0,0.725
São Tomé and Príncipe,526.0,0.625
Micronesia,427.0,0.62
Marshall Islands,267.0,0.704
Palau,244.0,0.826
Kiribati,216.0,0.63
